key,mac,win,nix
Q,12,81,16,
W,13,87,17,
E,14,69,18,
R,15,82,19,
T,17,84,20,
Y,16,89,21,
U,32,85,22,
I,34,73,23,
O,31,79,24,
P,35,80,25,
A,*,65,30,
S,1,83,31,
D,2,68,32,
F,3,70,33,
G,5,71,34,
H,4,72,35,
J,38,74,36,
K,40,75,37,
L,37,76,38,
Z,6,90,44,
X,7,88,45,
C,8,67,46,
V,9,86,47,
B,11,66,48,
N,45,78,49,
M,46,77,50,
0,29,48,11,
1,18,49,2,
2,19,50,3,
3,20,51,4,
4,21,52,5,
5,23,53,6,
6,22,54,7,
7,26,55,8,
8,28,56,9,
9,25,57,10,
F1,122,112,59,
F2,120,113,60,
F3,99,114,61,
F4,118,115,62,
F5,96,116,63,
F6,97,117,64,
F7,98,118,65,
F8,100,119,66,
F9,101,120,67,
F10,109,121,68,
F11,103,122,87,
F12,111,123,88,
Period,47,190,52,
Comma,43,188,51,
Slash,44,191,53,
